window,contract_number,build_id,build_label,samples,wins,win_rate,avg_damage,damage_variance,avg_dps,dps_variance,avg_required_dps,avg_required_dps_gap,avg_damage_gap,avg_blocked_damage,avg_absorbed_damage,avg_crit_negated_damage,avg_dodges,avg_cleanses,avg_interrupts,avg_stun_seconds
fixed_30s,10,thief,Thief,80,0,0.0,691.2125,171581.0923,23.0404,190.6457,946.7684,-923.728,-17905.35,67.6504,0.0,33.4931,0.0,1.625,2.8625,0.0
generated_duration,10,thief,Thief,80,0,0.0,1032.65,474461.7525,23.4549,187.7625,946.7684,-923.3136,-17563.9125,99.7021,0.0,36.7504,0.0,2.25,3.7125,0.0
fixed_30s,11,assassin,Assassin,80,0,0.0,791.3625,50998.4061,26.3787,56.6649,1231.9006,-1205.5219,-24330.7125,37.4636,68.5375,17.9524,0.0,1.2125,1.15,0.0
generated_duration,11,assassin,Assassin,80,0,0.0,1209.6875,192302.2148,26.6849,57.2698,1231.9006,-1205.2158,-23912.3875,60.9042,98.3875,22.5211,0.0,1.8625,2.0125,0.0
fixed_30s,11,blade_dancer,Blade Dancer,80,0,0.0,724.2,89167.76,24.14,99.0753,1231.9006,-1207.7606,-24397.875,109.8136,0.0,39.8857,0.0,3.4875,0.0,0.0
generated_duration,11,blade_dancer,Blade Dancer,80,0,0.0,1119.1375,288387.1436,24.7855,105.0092,1231.9006,-1207.1152,-24002.9375,166.491,0.0,66.7415,0.0,5.475,0.0,0.0
fixed_30s,11,shadow,Shadow,80,0,0.0,759.4625,33136.1986,25.3154,36.818,1231.9006,-1206.5852,-24362.6125,63.3704,39.5687,28.0063,0.0,1.9375,0.0,0.0
generated_duration,11,shadow,Shadow,80,0,0.0,1154.4,151497.915,25.4784,35.6817,1231.9006,-1206.4223,-23967.675,96.6934,57.5006,38.6564,0.0,3.1,0.0,0.0
fixed_30s,11,thief,Thief,80,0,0.0,676.525,174206.8244,22.5508,193.5631,1231.9006,-1209.3498,-24445.55,73.1634,0.0,28.955,0.0,1.475,2.875,0.0
generated_duration,11,thief,Thief,80,0,0.0,1028.9625,461935.0361,22.7905,196.6642,1231.9006,-1209.1101,-24093.1125,113.5032,0.0,47.3333,0.0,2.425,4.2875,0.0
fixed_30s,12,assassin,Assassin,80,0,0.0,769.2,42605.285,25.64,47.3392,1588.4497,-1562.8097,-29683.45,26.7211,81.8125,15.4931,0.0,1.2,1.15,0.0
generated_duration,12,assassin,Assassin,80,0,0.0,1052.8,149072.635,25.4535,50.5563,1588.4497,-1562.9962,-29399.85,41.0514,109.5875,18.6241,0.0,1.825,1.7375,0.0
fixed_30s,12,blade_dancer,Blade Dancer,80,0,0.0,752.375,92272.9344,25.0792,102.5255,1588.4497,-1563.3705,-29700.275,78.1761,0.0,27.1779,0.0,3.7,0.0,0.0
generated_duration,12,blade_dancer,Blade Dancer,80,0,0.0,1046.3375,203370.4986,25.5557,102.3882,1588.4497,-1562.894,-29406.3125,114.2769,0.0,36.763,0.0,5.2125,0.0,0.0
fixed_30s,12,shadow,Shadow,80,0,0.0,771.3125,28694.9398,25.7104,31.8833,1588.4497,-1562.7393,-29681.3375,45.0283,45.981,20.57,0.0,2.0625,0.0,0.0
generated_duration,12,shadow,Shadow,80,0,0.0,1084.3375,116277.9736,26.2594,34.9743,1588.4497,-1562.1903,-29368.3125,64.903,61.5111,33.6715,0.0,2.925,0.0,0.0
fixed_30s,12,thief,Thief,80,0,0.0,742.25,185341.3625,24.7417,205.9348,1588.4497,-1563.708,-29710.4,52.4655,0.0,21.0618,0.0,1.6,2.825,0.0
generated_duration,12,thief,Thief,80,0,0.0,993.6125,349291.7123,24.424,190.1956,1588.4497,-1564.0257,-29459.0375,77.7164,0.0,31.4674,0.0,2.25,3.975,0.0
fixed_30s,13,assassin,Assassin,80,0,0.0,819.0,59630.725,27.3,66.2564,1967.5267,-1940.2267,-39423.775,41.1359,57.35,18.1536,0.0,1.3875,1.0625,0.0
generated_duration,13,assassin,Assassin,80,0,0.0,1237.65,237924.5525,27.0336,66.9783,1967.5267,-1940.4931,-39005.125,67.9149,87.075,31.5562,0.0,2.1875,1.875,0.0
fixed_30s,13,blade_dancer,Blade Dancer,80,0,0.0,689.2375,79681.5311,22.9746,88.535,1967.5267,-1944.5521,-39553.5375,119.9257,0.0,57.2975,0.0,3.9,0.0,0.0
generated_duration,13,blade_dancer,Blade Dancer,80,0,0.0,1077.0625,226754.0586,23.5241,77.503,1967.5267,-1944.0025,-39165.7125,191.997,0.0,85.0242,0.0,5.9875,0.0,0.0
fixed_30s,13,shadow,Shadow,80,0,0.0,743.75,29045.1875,24.7917,32.2724,1967.5267,-1942.735,-39499.025,69.0875,30.8604,32.6524,0.0,2.1125,0.0,0.0
generated_duration,13,shadow,Shadow,80,0,0.0,1142.3625,134422.0561,25.0047,31.6451,1967.5267,-1942.5219,-39100.4125,107.8553,47.5686,51.9825,0.0,3.4125,0.0,0.0
fixed_30s,13,thief,Thief,80,0,0.0,659.775,168580.1244,21.9925,187.3112,1967.5267,-1945.5342,-39583.0,79.9703,0.0,35.9452,0.0,1.8,2.725,0.0
generated_duration,13,thief,Thief,80,0,0.0,991.1875,419189.9773,21.7761,171.6798,1967.5267,-1945.7506,-39251.5875,128.3613,0.0,52.4606,0.0,2.8,4.15,0.0
fixed_30s,14,assassin,Assassin,80,0,0.0,790.95,44720.3475,26.365,49.6893,2340.7133,-2314.3483,-46626.4625,28.3137,43.6375,13.1578,0.0,1.8125,1.25,0.0
generated_duration,14,assassin,Assassin,80,0,0.0,1128.6625,182023.3986,25.8185,52.5939,2340.7133,-2314.8948,-46288.75,46.4029,62.65,20.0028,0.0,2.775,2.0375,0.0
fixed_30s,14,blade_dancer,Blade Dancer,80,0,0.0,686.4625,63198.1486,22.8821,70.2202,2340.7133,-2317.8312,-46730.95,81.6349,0.0,39.9918,0.0,5.0875,0.0,0.0
generated_duration,14,blade_dancer,Blade Dancer,80,0,0.0,1001.5875,171732.3923,23.0543,60.5814,2340.7133,-2317.659,-46415.825,126.9843,0.0,51.8292,0.0,7.5125,0.0,0.0
fixed_30s,14,shadow,Shadow,80,0,0.0,735.35,19004.0275,24.5117,21.1156,2340.7133,-2316.2016,-46682.0625,47.5084,24.7439,17.6258,0.0,2.8375,0.0,0.0
generated_duration,14,shadow,Shadow,80,0,0.0,1089.3875,104530.6623,25.0237,22.9198,2340.7133,-2315.6896,-46328.025,74.3282,36.3561,38.3544,0.0,4.275,0.0,0.0
fixed_30s,14,thief,Thief,80,0,0.0,687.65,156765.4025,22.9217,174.1838,2340.7133,-2317.7916,-46729.7625,54.5267,0.0,23.1104,0.0,2.525,3.0375,0.0
generated_duration,14,thief,Thief,80,0,0.0,982.4,363785.965,22.8167,161.6757,2340.7133,-2317.8966,-46435.0125,86.4686,0.0,36.3774,0.0,3.6375,4.5875,0.0
fixed_30s,15,assassin,Assassin,80,0,0.0,832.5125,56423.2498,27.7504,62.6925,2899.1448,-2871.3944,-52012.075,42.5142,63.9375,19.8903,0.0,1.2875,1.0625,0.0
generated_duration,15,assassin,Assassin,80,0,0.0,1112.775,167674.3744,27.216,63.8319,2899.1448,-2871.9288,-51731.8125,62.363,87.2875,29.904,0.0,1.75,1.6875,0.0
fixed_30s,15,blade_dancer,Blade Dancer,80,0,0.0,684.3875,83594.9873,22.8129,92.8833,2899.1448,-2876.3319,-52160.2,121.5613,0.0,40.1464,0.0,3.75,0.0,0.0
generated_duration,15,blade_dancer,Blade Dancer,80,0,0.0,975.5875,206915.9423,23.847,94.7609,2899.1448,-2875.2978,-51869.0,173.2996,0.0,76.3231,0.0,5.2625,0.0,0.0
fixed_30s,15,shadow,Shadow,80,0,0.0,726.1,30108.815,24.2033,33.4542,2899.1448,-2874.9415,-52118.4875,71.2965,34.4711,31.7362,0.0,2.1125,0.0,0.0
generated_duration,15,shadow,Shadow,80,0,0.0,1000.9625,101699.9111,24.4486,34.2774,2899.1448,-2874.6962,-51843.625,98.9602,46.7626,36.0633,0.0,2.9625,0.0,0.0
fixed_30s,15,thief,Thief,80,0,0.0,645.9875,164888.4373,21.5329,183.2094,2899.1448,-2877.6119,-52198.6,82.7835,0.0,35.7769,0.0,1.675,2.6375,0.0
